Date,Open,High,Low,Close,Volume
2012-04-05,89.57,90.67,89.06,90.53,160318858
2012-04-09,89.45,91.41,89.33,90.89,149384046
2012-04-10,91.42,92.0,89.43,89.78,222422452
2012-04-11,90.89,90.98,89.05,89.46,174152769
2012-04-12,89.29,90.19,88.64,88.97,153582163
2012-04-13,89.16,89.24,86.22,86.46,214911067
2012-04-16,87.15,87.18,82.61,82.88,262696056
2012-04-17,82.71,87.14,81.7,87.1,256371472
2012-04-18,87.67,88.61,86.1,86.91,238632471
2012-04-19,85.75,86.39,83.5,83.92,208678365
2012-04-20,84.48,84.95,81.49,81.85,257743808
2012-04-23,81.52,82.38,79.52,81.67,241629479
2012-04-24,80.37,81.1,79.29,80.04,269099838
2012-04-25,87.95,88.29,86.57,87.14,226427670
2012-04-26,87.75,87.81,86.02,86.81,134016274
2012-04-27,86.44,86.6,85.79,86.14,101692500
2012-04-30,85.4,85.49,83.29,83.43,126535038
2012-05-01,83.56,85.25,83.03,83.16,152749513
2012-05-02,82.89,83.91,82.69,83.71,106906016
2012-05-03,84.36,84.49,82.9,83.12,97637057
2012-05-04,82.44,82.62,80.74,80.75,132497421
2012-05-07,80.21,81.82,80.18,81.35,115073217
2012-05-08,81.37,81.64,79.82,81.17,124312720
2012-05-09,80.53,82.0,80.12,81.31,120175923
2012-05-10,82.08,82.27,81.21,81.5,83317752
2012-05-11,80.71,82.07,80.62,80.96,99886332
2012-05-14,80.37,81.07,79.66,79.75,88156103
2012-05-15,80.21,80.46,78.82,79.02,119076678
2012-05-16,79.15,79.56,77.29,78.01,140223874
2012-05-17,77.9,78.21,75.73,75.73,179304713
2012-05-18,76.28,77.63,74.6,75.77,183072463
2012-05-21,76.36,80.22,76.29,80.18,157772790
2012-05-22,81.36,81.98,78.94,79.57,173696754
2012-05-23,79.64,81.83,79.03,81.51,146224365
2012-05-24,82.27,82.36,80.18,80.76,124049506
2012-05-25,80.66,80.84,79.78,80.33,82116552
2012-05-29,81.56,82.0,80.76,81.75,95126346
2012-05-30,81.31,82.86,80.94,82.74,132355209
2012-05-31,82.96,83.07,81.64,82.53,122977603
2012-06-01,81.31,81.81,80.07,80.14,130245094
2012-06-04,80.21,81.07,78.36,80.61,139247129
2012-06-05,80.18,80.92,79.76,80.4,97053376
2012-06-06,81.11,81.98,80.79,81.64,100362262
2012-06-07,82.47,82.47,81.5,81.67,94993164
2012-06-08,81.66,82.94,81.29,82.9,86872870
2012-06-11,83.96,84.07,81.52,81.6,147815696
2012-06-12,82.07,82.37,80.96,82.31,108894961
2012-06-13,82.07,82.64,81.48,81.74,73443230
2012-06-14,81.61,81.93,81.04,81.65,86460283
2012-06-15,81.57,82.09,81.36,82.02,83813380
2012-06-18,81.57,83.98,81.48,83.68,110102790
2012-06-19,83.34,84.29,83.3,83.92,90350932
2012-06-20,84.03,84.18,82.97,83.68,89789644
2012-06-21,83.63,84.03,82.49,82.52,81626258
2012-06-22,82.72,83.17,82.2,83.16,71186311
2012-06-25,82.47,82.83,81.48,81.54,76088656
2012-06-26,81.62,82.07,81.05,81.72,69187503
2012-06-27,82.14,82.39,81.7,82.07,50764770
2012-06-28,81.67,82.0,80.8,81.29,70760543
2012-06-29,82.57,83.43,82.04,83.43,105360031
2012-07-02,83.53,84.78,83.37,84.65,100022776
2012-07-03,84.98,85.71,84.86,85.63,60428165
2012-07-05,85.79,87.76,85.66,87.13,121095121
2012-07-06,86.73,86.92,85.94,86.55,104757156
2012-07-09,86.47,87.7,86.3,87.7,94850224
2012-07-10,88.28,88.55,86.47,86.89,127989407
2012-07-11,86.59,86.81,85.32,86.35,117329366
2012-07-12,85.75,86.21,84.67,85.56,106997163
2012-07-13,86.14,86.74,85.71,86.42,77904449
2012-07-16,86.45,87.37,86.43,86.7,75326342
2012-07-17,87.26,87.36,86.16,86.71,73453037
2012-07-18,86.66,86.91,86.22,86.61,63174888
2012-07-19,87.33,87.91,86.57,87.76,109214567
2012-07-20,87.58,87.78,86.24,86.33,99367450
2012-07-23,84.91,86.56,83.96,86.26,121993795
2012-07-24,86.77,87.1,85.5,85.85,141283044
2012-07-25,82.07,82.97,81.43,82.14,219314368
2012-07-26,82.82,82.91,81.48,82.13,101702580
2012-07-27,82.14,83.69,81.66,83.59,101013241
2012-07-30,84.42,85.63,83.97,85.0,94784970
2012-07-31,86.18,87.39,86.1,87.25,115581676
2012-08-01,87.99,88.06,86.14,86.69,96124742
2012-08-02,86.12,87.24,85.75,86.83,83062203
2012-08-03,87.66,88.28,87.37,87.96,86228604
2012-08-06,88.18,89.27,87.89,88.94,75580008
2012-08-07,88.97,89.29,88.29,88.7,72627492
2012-08-08,88.48,89.13,88.16,88.55,61176080
2012-08-09,88.26,88.82,88.26,88.68,55452586
2012-08-10,88.39,88.82,88.39,88.81,48765045
2012-08-13,89.06,90.0,89.04,90.0,69707463
2012-08-14,90.27,91.23,90.03,90.24,85041824
2012-08-15,90.19,90.57,89.68,90.12,64377278
2012-08-16,90.17,90.97,90.07,90.91,63694204
2012-08-17,91.43,92.6,91.26,92.59,110689894
2012-08-20,92.86,95.02,92.84,95.02,153345689
2012-08-21,95.83,96.41,92.9,93.72,203176260
2012-08-22,93.49,95.57,92.59,95.55,141330637
2012-08-23,95.16,95.7,94.45,94.66,105029568
2012-08-24,94.22,95.64,93.65,94.75,109334113
2012-08-27,97.14,97.27,96.22,96.53,106728601
2012-08-28,96.43,96.59,95.81,96.4,66844323
2012-08-29,96.46,96.81,96.09,96.21,50701084
2012-08-30,95.81,95.94,94.69,94.84,75672793
2012-08-31,95.32,95.51,93.89,95.03,84579607
2012-09-04,95.11,96.45,94.93,96.42,91972629
2012-09-05,96.51,96.62,95.66,95.75,84090475
2012-09-06,96.17,96.9,95.83,96.61,97845664
2012-09-07,96.86,97.5,96.54,97.21,82416145
2012-09-10,97.21,97.61,94.59,94.68,121998898
2012-09-11,95.02,95.73,93.79,94.37,125984852
2012-09-12,95.26,95.7,93.71,95.68,178054492
2012-09-13,96.77,97.93,96.4,97.57,149589629
2012-09-14,98.56,99.57,98.27,98.75,150118311
2012-09-17,99.91,99.97,99.23,99.97,99507499
2012-09-18,99.98,100.33,99.49,100.27,93375667
2012-09-19,100.04,100.57,99.94,100.3,81715004
2012-09-20,99.88,100.01,99.09,99.81,84141932
2012-09-21,100.34,100.72,99.91,100.01,142897076
2012-09-24,98.12,99.3,97.57,98.68,159936196
2012-09-25,98.32,98.97,96.14,96.22,129690449
2012-09-26,95.53,96.1,94.46,95.03,144175906
2012-09-27,94.9,97.45,94.34,97.33,148522031
2012-09-28,96.96,97.3,95.25,95.3,133777077
2012-10-01,95.88,96.68,93.79,94.2,135895921
2012-10-02,94.54,95.19,92.95,94.47,156997638
2012-10-03,94.98,95.98,94.66,95.92,106069719
2012-10-04,95.89,96.32,95.08,95.26,92688813
2012-10-05,95.03,95.14,93.04,93.23,148501108
2012-10-08,92.41,92.51,90.87,91.17,159494867
2012-10-09,91.24,91.5,89.08,90.84,209648887
2012-10-10,91.39,92.14,91.0,91.56,127588930
2012-10-11,92.4,92.5,89.7,89.7,136520097
2012-10-12,89.94,90.77,89.33,89.96,115003665
2012-10-15,90.34,90.73,89.12,90.68,108124961
2012-10-16,90.77,92.9,90.14,92.83,137442816
2012-10-17,92.7,93.26,92.0,92.09,97327643
2012-10-18,91.37,91.72,90.0,90.38,119155512
2012-10-19,90.15,90.25,87.09,87.12,186021017
2012-10-22,87.49,90.77,87.25,90.58,136682392
2012-10-23,90.14,90.56,87.39,87.62,176786197
2012-10-24,88.78,89.51,87.23,88.12,139631772
2012-10-25,88.57,88.86,86.51,87.08,164081393
2012-10-26,87.06,87.71,84.43,86.29,254605834
2012-10-31,84.98,85.99,83.96,85.05,127500471
2012-11-01,85.46,86.14,84.88,85.22,90361922
2012-11-02,85.13,85.28,82.11,82.4,149843064
2012-11-05,83.36,83.97,82.51,83.52,132321224
2012-11-06,84.32,84.39,82.87,83.26,93729041
2012-11-07,81.98,82.08,79.39,79.71,198412186
2012-11-08,80.09,80.32,76.47,76.82,264036339
2012-11-09,77.2,79.27,76.25,78.15,232476496
2012-11-12,79.16,79.21,76.95,77.55,128950479
2012-11-13,76.99,78.64,76.62,77.56,133302610
2012-11-14,77.93,78.21,76.6,76.7,119291977
2012-11-15,76.79,77.07,74.66,75.09,197477385
2012-11-16,75.03,75.71,72.25,75.38,316722763
2012-11-19,77.24,81.07,77.13,80.82,205792965
2012-11-20,81.7,81.71,79.23,80.13,160687856
2012-11-21,80.61,81.05,79.51,80.24,93306759
2012-11-23,81.02,81.71,80.37,81.64,68206579
2012-11-26,82.27,84.29,81.96,84.22,157644431
2012-11-27,84.22,84.35,82.87,83.54,133328454
2012-11-28,82.47,83.69,81.75,83.28,130264981
2012-11-29,84.32,84.89,83.61,84.19,128674525
2012-11-30,83.83,84.06,83.24,83.61,97824986
2012-12-03,84.81,84.94,83.64,83.74,91069097
2012-12-04,83.11,83.11,81.73,82.26,139482392
2012-12-05,81.27,81.32,76.97,76.97,261159353
2012-12-06,75.56,79.04,74.09,78.18,294301791
2012-12-07,79.06,79.31,75.71,76.18,196941794
2012-12-10,75.0,76.93,74.51,75.69,157620575
2012-12-11,77.11,78.51,76.77,77.34,148085903
2012-12-12,78.25,78.29,76.61,77.0,121783130
2012-12-13,75.88,76.81,75.11,75.67,156314627
2012-12-14,73.54,74.02,72.23,72.83,252394499
2012-12-17,72.7,74.29,71.6,74.12,189736022
2012-12-18,75.0,76.41,74.32,76.27,156417023
2012-12-19,75.92,76.24,75.07,75.19,112340424
2012-12-20,75.71,75.74,74.13,74.53,120421798
2012-12-21,73.21,74.24,72.89,74.19,149129554
2012-12-24,74.34,74.89,74.1,74.31,43936977
2012-12-26,74.14,74.21,73.02,73.29,75609030
2012-12-27,73.36,73.75,72.09,73.58,113779680
2012-12-28,72.9,73.5,72.59,72.8,88569243
